date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:17	159/159	---MCZ	200	added ('OK')	text/plain	date:Fri,%2008%20Aug%202025%2017:02:17%20GMT	https://haar.qodeinteractive.com/robots.txt		(from )
22:32:18	225868/225868	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2017:02:18%20GMT	https://haar.qodeinteractive.com/	~/Downloads/Tattoo/haar.qodeinteractive.com/index.html	(from )
22:32:19	116345/116345	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Jul%202025%2020:47:28%20GMT	https://haar.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	~/Downloads/Tattoo/haar.qodeinteractive.com/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://haar.qodeinteractive.com/)
22:32:19	1325/1325	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2011:57:49%20GMT	https://haar.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.3	~/Downloads/Tattoo/haar.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-barba31.css	(from https://haar.qodeinteractive.com/)
22:32:20	2894/2894	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20May%202025%2009:31:03%20GMT	https://haar.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	~/Downloads/Tattoo/haar.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://haar.qodeinteractive.com/)
22:32:22	2279/2279	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20May%202025%2009:31:10%20GMT	https://haar.qodeinteractive.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.8.5	~/Downloads/Tattoo/haar.qodeinteractive.com/wp-content/plugins/woocommerce/assets/css/brands519f.css	(from https://haar.qodeinteractive.com/)
22:32:22	9338/9338	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2221d0f48d75886d9afadd4f6a5b457001%22	https://haar.qodeinteractive.com/comments/feed/	~/Downloads/Tattoo/haar.qodeinteractive.com/comments/feed/index.html	(from https://haar.qodeinteractive.com/)
22:32:22	56437/56437	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2221d0f48d75886d9afadd4f6a5b457001%22	https://haar.qodeinteractive.com/feed/	~/Downloads/Tattoo/haar.qodeinteractive.com/feed/index.html	(from https://haar.qodeinteractive.com/)
22:32:23	670/670	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20May%202025%2009:04:17%20GMT	https://haar.qodeinteractive.com/wp-content/themes/haar/style.css?ver=6.8.2	~/Downloads/Tattoo/haar.qodeinteractive.com/wp-content/themes/haar/style6c2d.css	(from https://haar.qodeinteractive.com/)
22:32:24	522564/522564	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20May%202025%2009:04:16%20GMT	https://haar.qodeinteractive.com/wp-content/themes/haar/assets/css/modules.min.css?ver=6.8.2	~/Downloads/Tattoo/haar.qodeinteractive.com/wp-content/themes/haar/assets/css/modules.min6c2d.css	(from https://haar.qodeinteractive.com/)
